,imonth,success,attacktype1,latitude,longitude,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt
10137,3,1,3,24.795452,84.999431,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10138,3,1,1,22.114884,74.37352,Assassination,22,Violent Political Party,5,Firearms
10139,3,1,2,25.289798,86.573624,Armed Assault,14,Private Citizens & Property,5,Firearms
10140,3,1,6,24.823134,93.93107,Hostage Taking (Kidnapping),14,Private Citizens & Property,13,Unknown
10141,3,0,3,19.816625,85.839934,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10143,3,1,1,24.928265,86.230355,Assassination,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10144,3,1,3,10.803509,78.737252,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10145,3,1,3,26.647163,84.913763,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10146,3,1,3,19.724015,81.242378,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10147,3,1,2,14.378553,79.913673,Armed Assault,14,Private Citizens & Property,9,Melee
10148,3,1,2,21.10006,81.030049,Armed Assault,1,Business,5,Firearms
10149,3,1,3,24.816278,93.938246,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10150,3,0,3,34.03458,74.855455,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10151,3,1,3,33.873015,74.898971,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10152,3,1,3,18.47329,81.768109,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10153,3,1,7,19.191228,80.714517,Facility/Infrastructure Attack,19,Transportation,8,Incendiary
10154,3,1,2,19.591569,80.367951,Armed Assault,3,Police,5,Firearms
10155,3,1,3,24.953906,84.015937,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10156,3,0,3,19.600012,81.669911,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10157,3,0,3,23.930507,84.640925,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10158,3,0,3,33.340299,74.238476,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10159,3,1,8,24.583998,94.078707,Unarmed Assault,1,Business,9,Melee
10160,3,1,3,24.812228,93.950356,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10161,3,1,3,24.813655,93.959124,Bombing/Explosion,22,Violent Political Party,6,Explosives/Bombs/Dynamite
10162,3,0,3,23.696436,87.859999,Bombing/Explosion,8,Educational Institution,6,Explosives/Bombs/Dynamite
10163,3,1,2,19.33197,81.406269,Armed Assault,4,Military,5,Firearms
10164,3,1,7,24.806749,93.117427,Facility/Infrastructure Attack,2,Government (General),8,Incendiary
10165,3,1,1,18.995978,82.62798000000002,Assassination,2,Government (General),5,Firearms
10166,3,1,6,25.653245,90.393134,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms
10167,3,0,3,26.252165,92.341601,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10168,3,0,3,11.74859,75.57558,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10169,3,1,8,18.728684,81.908265,Unarmed Assault,14,Private Citizens & Property,9,Melee
10170,3,1,3,17.829124,81.333206,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10171,3,1,9,20.070203,81.327718,Unknown,14,Private Citizens & Property,13,Unknown
10172,3,1,3,17.928619,81.342152,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10173,3,1,3,18.751118,81.705979,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10174,3,1,3,24.249968,94.301852,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10175,3,0,3,17.94395,81.359309,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10176,3,1,3,24.789884,93.926013,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10177,3,0,3,24.374447,93.91439,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10178,3,0,3,24.248489000000006,94.303705,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10179,3,1,3,18.522070000000006,83.00344,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10180,3,1,2,33.881322999999995,74.89971800000002,Armed Assault,14,Private Citizens & Property,5,Firearms
10181,3,1,8,25.280711,94.03264,Unarmed Assault,14,Private Citizens & Property,9,Melee
10182,3,1,3,25.473806,90.824259,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10183,3,0,3,33.913795,75.091774,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
10184,3,1,2,18.578604,81.7287,Armed Assault,14,Private Citizens & Property,9,Melee
10185,3,1,2,18.184988,81.41251199999998,Armed Assault,14,Private Citizens & Property,9,Melee
10186,3,1,8,20.280667,81.84022,Unarmed Assault,14,Private Citizens & Property,9,Melee
10187,3,1,3,18.556421,80.88349000000002,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10188,3,0,3,24.820065,93.950239,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10189,3,1,3,24.885285,87.00247900000002,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10190,3,1,1,21.868788,88.18509,Assassination,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10191,3,1,2,12.911032,74.856202,Armed Assault,14,Private Citizens & Property,9,Melee
10192,3,1,3,24.820065,93.950239,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10193,3,1,3,24.458208,88.045112,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10194,3,1,6,24.827877,92.791976,Hostage Taking (Kidnapping),14,Private Citizens & Property,13,Unknown
10195,3,1,3,33.792988,75.104807,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10196,3,1,5,26.034764000000006,85.35301,Hostage Taking (Barricade Incident),1,Business,6,Explosives/Bombs/Dynamite
10197,3,1,3,20.199012,81.075466,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10198,3,1,3,24.809394,93.924733,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
